URL,Sandwich name,Take away cost (£),Kcal per £,KJ per £,Protein (g) per £,Weight (g),Energy (KJ) per 100g,Energy (KJ) per serving,Energy (Kcal) per 100g,Energy (Kcal) per serving,Fat (g) per 100g,Fat (g) per serving,Fat saturates (g) per 100g,Fat saturates (g) per serving,Carbohydrates (g) per 100g,Carbohydrates (g) per serving,Sugars (g) per 100g,Sugars (g) per serving,Fibre (g) per 100g,Fibre (g) per serving,Protein (g) per 100g,Protein (g) per serving,Salt (g) per 100g,Salt (g) per serving
https://www.pret.co.uk/en-GB/products/UK006440/ham-and-cheese,Ham and Cheese,2.99,177,742,10.5,195,"1,138","2,219",272,530,13.5,26.2,7.8,15.2,20.2,39.4,1.7,3.2,2.9,5.6,16.1,31.4,1.79,3.49
https://www.pret.co.uk/en-GB/products/UK001040/brie-tomato-and-basil-baguette,"Brie, Tomato and Basil Baguette",2.65,170,713,6.8,192,982,"1,890",234,450,7.9,15.2,5.3,10.1,30.4,58.4,1.9,3.7,1.7,3.4,9.4,18,1.15,2.21
https://www.pret.co.uk/en-GB/products/UK000682/wiltshire-cured-ham-and-greve,Wiltshire-Cured Ham and Greve,3.85,160,671,7.6,227,"1,138","2,583",271,615,11.7,26.6,4,9.1,26.2,59.5,1.7,3.9,1.7,3.9,12.8,29.1,1.5,3.4
https://www.pret.co.uk/en-GB/products/UK001921/posh-cheddar-and-pickle-baguette,Posh Cheddar and Pickle Baguette,4.15,157,657,5.5,233,"1,168","2,726",279,651,12.4,28.8,3.9,9.1,30.7,71.6,8,18.6,2.9,6.9,9.7,22.7,1.18,2.77
https://www.pret.co.uk/en-GB/products/UK001531/mature-cheddar-and-pret-pickle,Mature Cheddar and Pret Pickle,3.25,156,652,6,224,946,"2,120",226,506,10.4,23.3,3.9,8.7,22.9,51.3,6.1,13.7,2.9,6.5,8.7,19.5,0.9,2.02
https://www.pret.co.uk/en-GB/products/UK007535/humous-and-roasted-peppers-open-sandwich,Humous and Roasted Peppers Open Sandwich,3.45,150,624,3.5,189,"1,140","2,154",274,518,18,34,2.8,5.3,18.4,34.8,2.9,5.5,6.9,13,6.4,12.1,1.01,1.91
https://www.pret.co.uk/en-GB/products/UK007506/humous-and-chipotle-wrap,Humous and Chipotle Wrap,3.25,148,620,3.9,246,819,"2,016",196,482,8.8,21.6,1.1,2.6,21.9,54,4.5,11,4.3,10.7,5.1,12.6,0.63,1.56
https://www.pret.co.uk/en-GB/products/UK000962/tuna-mayo-baguette,Tuna Mayo Baguette,3.65,141,591,6.9,230,938,"2,158",223,514,8.4,19.3,0.9,2.2,25.5,58.7,1.8,4.1,1.1,2.6,10.9,25.2,1.07,2.45
https://www.pret.co.uk/en-GB/products/UK000698/free-range-egg-mayo,Free-Range Egg Mayo,2.65,140,589,6.6,189,828,"1,561",197,372,7.7,14.5,1.5,2.9,21.4,40.3,1.5,2.9,2.9,5.4,9.3,17.5,0.77,1.45
https://www.pret.co.uk/en-GB/products/UK006823/chicken-caesar-bacon-baguette,Chicken Caesar Bacon Baguette,4.25,140,587,7.3,218,"1,145","2,496",273,596,12.5,27.3,2.2,4.7,24.9,54.3,1.5,3.2,2,4.4,14.2,31,1.14,2.49
